entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot,atr,pnl,exit_reason,max_favorable,max_adverse
2026-01-28 08:47:00+00:00,2026-01-28 09:07:00+00:00,BUY,5284.324,5288.89928288188,5288.89928288188,5301.377434236241,0.1,8.526717118120766,45.75282881880412,SL,13.102000000000771,2.324999999999818
2026-01-28 12:21:00+00:00,2026-01-28 12:29:00+00:00,BUY,5267.378,5259.8605930736985,5259.8605930736985,5282.412813852602,0.1,7.5174069263010335,-75.17406926301192,SL,1.530999999999949,7.572999999999411
2026-01-28 12:39:00+00:00,2026-01-28 13:03:00+00:00,BUY,5270.165999999999,5284.306979565678,5277.039510217161,5284.306979565678,0.1,7.070489782839428,141.4097956567912,TP,15.585000000000946,4.699999999998909
2026-01-29 09:35:00+00:00,2026-01-29 10:00:00+00:00,BUY,5522.846,5510.760518921928,5510.760518921928,5547.016962156143,0.1,12.08548107807147,-120.85481078071099,SL,6.838000000000648,13.46599999999944
2026-01-29 12:11:00+00:00,2026-01-29 12:20:00+00:00,BUY,5525.201999999999,5530.05812477005,5530.05812477005,5544.3697504598995,0.1,9.583875229950003,48.56124770050883,SL,14.44000000000051,0.49799999999959255
2026-01-29 12:46:00+00:00,2026-01-29 13:11:00+00:00,BUY,5534.549999999999,5525.236039910128,5525.236039910128,5553.177920179742,0.1,9.313960089871397,-93.13960089871216,SL,7.895000000000437,15.279999999998836
2026-01-30 07:09:00+00:00,2026-01-30 07:37:00+00:00,SELL,5165.945000000001,5142.8748583342585,5142.8748583342585,5115.445283331484,0.1,25.24985833425857,230.70141665742088,SL,48.32000000000062,20.747999999999593
2026-01-30 07:48:00+00:00,2026-01-30 07:57:00+00:00,SELL,5147.729,5169.784066515438,5169.784066515438,5103.6188669691255,0.1,22.0550665154376,-220.55066515437832,SL,3.699000000000524,28.344999999999345
2026-01-30 08:07:00+00:00,2026-01-30 08:33:00+00:00,SELL,5151.7080000000005,5104.163852138374,5147.084073930813,5104.163852138374,0.1,23.77207393081321,475.441478616267,TP,65.50300000000061,18.85699999999906
2026-02-02 13:06:00+00:00,2026-02-02 13:15:00+00:00,BUY,4756.177,4773.69257881141,4773.69257881141,4816.553842377179,0.05,30.188421188589516,87.57789405705353,SL,47.70400000000063,1.344000000000051
2026-02-02 13:27:00+00:00,2026-02-02 13:41:00+00:00,SELL,4738.905000000001,4677.456937834379,4711.805031082811,4677.456937834379,0.05,30.724031082810967,307.2403108281105,TP,65.61300000000028,5.910999999999149
2026-02-02 13:55:00+00:00,2026-02-02 14:33:00+00:00,SELL,4711.7300000000005,4740.605427501019,4740.605427501019,4653.979144997963,0.05,28.875427501018798,-144.37713750509374,SL,31.637000000000626,37.92899999999918
2026-02-03 09:00:00+00:00,2026-02-03 09:16:00+00:00,BUY,4919.732,4906.421678078029,4906.421678078029,4946.352643843941,0.1,13.31032192197077,-133.1032192197108,SL,4.301000000000386,19.609999999999673
2026-02-03 09:45:00+00:00,2026-02-03 10:56:00+00:00,BUY,4924.6669999999995,4911.4804672147375,4911.4804672147375,4951.040065570523,0.1,13.186532785261992,-131.86532785261988,SL,5.197000000000116,16.73999999999978
2026-02-03 12:41:00+00:00,2026-02-03 13:11:00+00:00,BUY,4913.741,4918.333124313053,4918.333124313053,4938.436751373893,0.1,12.347875686946148,45.921243130533185,SL,16.9399999999996,11.412999999999556
2026-02-04 07:07:00+00:00,2026-02-04 07:29:00+00:00,BUY,5068.482999999999,5087.466311022367,5077.903344488816,5087.466311022367,0.1,9.491655511184176,189.83311022368073,TP,20.85400000000118,6.326999999999316
2026-02-04 07:40:00+00:00,2026-02-04 08:03:00+00:00,BUY,5076.128,5081.899228963669,5081.899228963669,5096.073542072662,0.1,9.97277103633151,57.71228963669274,SL,15.744000000000597,0.15799999999944703
2026-02-04 09:03:00+00:00,2026-02-04 09:12:00+00:00,BUY,5082.114,5072.717330497905,5072.717330497905,5100.907339004188,0.1,9.396669502094102,-93.96669502094484,SL,1.1480000000001382,11.480999999999767
2026-02-05 07:40:00+00:00,2026-02-05 07:52:00+00:00,SELL,4903.586,4918.838067885174,4918.838067885174,4873.081864229654,0.1,15.25206788517316,-152.5206788517335,SL,7.856999999999971,15.631999999999607
2026-02-05 08:45:00+00:00,2026-02-05 09:01:00+00:00,SELL,4916.653,4891.855607130797,4913.794696434602,4891.855607130797,0.1,12.398696434601824,247.9739286920358,TP,26.26800000000003,4.492000000000189
2026-02-05 09:40:00+00:00,2026-02-05 09:56:00+00:00,SELL,4881.326,4850.35523924038,4871.5203803798095,4850.35523924038,0.1,15.485380379809959,309.70760759620134,TP,32.05400000000009,12.711999999999534
2026-02-06 07:00:00+00:00,2026-02-06 07:25:00+00:00,SELL,4840.1720000000005,4855.539581878908,4855.539581878908,4809.436836242185,0.1,15.367581878907913,-153.67581878907913,SL,1.8740000000007058,21.38299999999981
2026-02-06 07:36:00+00:00,2026-02-06 07:59:00+00:00,BUY,4853.709,4842.2368951172,4842.2368951172,4876.653209765599,0.1,11.472104882799407,-114.72104882799614,SL,5.985999999999876,13.542999999999665
2026-02-06 08:43:00+00:00,2026-02-06 09:01:00+00:00,BUY,4858.678,4859.20101440146,4859.20101440146,4883.755971197079,0.1,12.538985598539536,5.230144014603866,SL,13.061999999999898,5.943999999999505
2026-02-09 08:14:00+00:00,2026-02-09 08:30:00+00:00,BUY,5020.022,5023.3026565056925,5023.3026565056925,5036.814686988614,0.05,8.3963434943069,16.403282528463027,SL,11.67699999999968,0.11899999999968713
2026-02-09 08:41:00+00:00,2026-02-09 09:26:00+00:00,BUY,5027.982,5020.094839428266,5020.094839428266,5043.756321143469,0.05,7.887160571734338,-39.435802858670286,SL,12.802999999999884,10.960000000000036
2026-02-09 12:04:00+00:00,2026-02-09 12:49:00+00:00,BUY,5011.831999999999,5013.931856363113,5013.931856363113,5027.556287273773,0.05,7.862143636886778,10.499281815568793,SL,9.962000000000444,2.1849999999994907
